date,country,gdp,series_code
2010-01-01,United States,15000000,NYGDPMKTPSAKD
2011-01-01,United States,15500000,NYGDPMKTPSAKD
2012-01-01,United States,16000000,NYGDPMKTPSAKD
2013-01-01,United States,16500000,NYGDPMKTPSAKD
2014-01-01,United States,17000000,NYGDPMKTPSAKD
2015-01-01,United States,17500000,NYGDPMKTPSAKD
2016-01-01,United States,18000000,NYGDPMKTPSAKD
2017-01-01,United States,18500000,NYGDPMKTPSAKD
2018-01-01,United States,19000000,NYGDPMKTPSAKD
2019-01-01,United States,19500000,NYGDPMKTPSAKD
2010-01-01,Germany,3000000,NYGDPMKTPSAKD
2011-01-01,Germany,3100000,NYGDPMKTPSAKD
2012-01-01,Germany,3200000,NYGDPMKTPSAKD
2013-01-01,Germany,3300000,NYGDPMKTPSAKD
2014-01-01,Germany,3400000,NYGDPMKTPSAKD
2015-01-01,Germany,3500000,NYGDPMKTPSAKD
2016-01-01,Germany,3600000,NYGDPMKTPSAKD
2017-01-01,Germany,3700000,NYGDPMKTPSAKD
2018-01-01,Germany,3800000,NYGDPMKTPSAKD
2019-01-01,Germany,3900000,NYGDPMKTPSAKD
