date,country,pop,series_code
2010-01-01,United States,309000000,SP.POP.TOTL
2011-01-01,United States,311000000,SP.POP.TOTL
2012-01-01,United States,313000000,SP.POP.TOTL
2013-01-01,United States,315000000,SP.POP.TOTL
2014-01-01,United States,317000000,SP.POP.TOTL
2015-01-01,United States,320000000,SP.POP.TOTL
2016-01-01,United States,322000000,SP.POP.TOTL
2017-01-01,United States,324000000,SP.POP.TOTL
2018-01-01,United States,326000000,SP.POP.TOTL
2019-01-01,United States,328000000,SP.POP.TOTL
2010-01-01,Germany,81700000,SP.POP.TOTL
2011-01-01,Germany,81800000,SP.POP.TOTL
2012-01-01,Germany,81900000,SP.POP.TOTL
2013-01-01,Germany,82000000,SP.POP.TOTL
2014-01-01,Germany,82100000,SP.POP.TOTL
2015-01-01,Germany,82200000,SP.POP.TOTL
2016-01-01,Germany,82300000,SP.POP.TOTL
2017-01-01,Germany,82400000,SP.POP.TOTL
2018-01-01,Germany,82500000,SP.POP.TOTL
2019-01-01,Germany,82600000,SP.POP.TOTL
